Jugador;País;Posc;Equipo;Liga;Edad;PJ;PG;PE;PP;Puntosjugador;Pts;Titular;Suplente;Mín;90 s;Gls;GC;Ass;G-TP;T.Penalti;Penal.Anotado;TA;TR;xG;xAG;Avances;Pases.Peligrosos;Pases.Recibidos;Valor Mercado (millones de e);Salario semanal;Salario anual;Dis;G/T;G-xG;Posesion;Regates;RegatesExt;RegExitosos%;DesafiosDef;DesafExt%;DisBloq;Intercep;Despejes;onG;onGC;Dentro-Fuera;Dentro-Fuera_xG
Sheraldo Becker;SUR;DL;Real Sociedad;LaLiga;28;15;16;12;10;1,47;60;8;7;771;8,6;2;39;2;2;0;0;1;0;1,4;1,8;28;13;87;;26923;1400000;21;0,1;0,6;55,3;8;4;50;1;0;0;1;0;14;5;0,95;0,15
Alberto Marí;ESP;DL;Valencia;LaLiga;22;16;13;10;15;1,25;49;2;14;276;3,1;1;45;1;0;1;1;0;0;1,8;0,9;2;6;13;;8077;420000;6;0;-0,8;44,3;5;3;60;1;100;0;0;5;4;8;-1,28;-1,02
Fran Beltrán;ESP;CC;Celta Vigo;LaLiga;24;33;10;11;17;1,18;41;28;5;2428;27;0;57;0;0;0;0;2;0;0,7;1,1;28;134;30;6;38462;2000000;21;0;-0,7;46,1;24;12;50;63;38,1;2;18;34;38;41;0,61;0,14
Carlos Benavídez;URU;CC;Alavés;LaLiga;25;29;12;10;16;1,34;46;10;19;1136;12,6;3;46;1;3;0;0;5;0;1;0,5;9;60;5;1,5;6346;330000;14;0,21;2;41,8;4;2;50;34;55,9;5;19;31;19;13;1,11;0,05
Yuri Berchiche;ESP;DF;Athletic Club;LaLiga;33;27;19;11;8;1,85;68;22;5;1930;21,4;3;37;1;3;0;0;5;0;0,9;1,6;36;132;77;3;82308;4280000;18;0,17;2,1;49,8;13;9;69,2;33;57,6;9;20;62;33;16;0,37;0,58
Alberto Moreno;ESP;DF;Villarreal;LaLiga;31;27;14;11;13;1,48;53;17;10;1484;16,5;2;65;2;2;0;0;5;2;0,7;1,6;26;55;79;;26923;1400000;17;0,12;1,3;49,6;10;5;50;30;33,3;2;24;33;37;26;1,18;0,15
Álex Berenguer;ESP;DL;Athletic Club;LaLiga;28;35;19;11;8;1,74;68;15;20;1592;17,7;7;37;3;6;1;1;4;0;5,2;3,7;61;30;143;10;32692;1700000;31;0,19;1,8;49,8;61;21;34,4;24;29,2;0;5;13;19;19;-1,18;-0,34
Dani Ceballos;ESP;CC;Real Madrid;LaLiga;26;20;29;8;1;2,6;95;5;15;598;6,6;0;26;2;0;0;0;2;0;0,3;1,5;16;47;23;8;200385;10420000;7;0;-0,3;59,2;15;5;33,3;14;35,7;2;0;4;16;6;-0,12;-0,27
Antonio Blanco;ESP;CC;Alavés;LaLiga;23;33;12;10;16;1,3;46;29;4;2426;27;0;46;1;0;0;0;5;1;0,8;1,2;20;133;22;6;9615;500000;20;0;-0,8;41,8;33;19;57,6;86;36;2;35;30;22;30;-0,12;-0,34
Daley Blind;NED;DF;Girona;LaLiga;33;34;25;6;7;2,29;81;33;1;2972;33;1;46;2;1;0;0;6;0;1,7;1,1;48;209;22;3;34231;1780000;17;0,06;-0,7;56,9;26;17;65,4;47;61,7;19;21;113;78;37;1,64;0,76
Alberto Risco;ESP;CC;Getafe;LaLiga;17;4;10;13;15;0,75;43;1;3;137;1,5;0;54;0;0;0;0;0;0;0,1;0,3;3;6;14;;;;2;0;-0,1;44,8;4;2;50;4;0;0;0;1;1;0;1,01;0,68
Lucas Boyé;ARG;DL;Granada;LaLiga;27;31;4;9;25;0,52;21;30;1;2541;28,2;6;79;3;6;0;0;8;1;6,2;2,8;36;65;131;7;17308;900000;56;0,11;-0,2;45,6;130;53;40,8;34;41,2;5;10;46;26;57;-0,07;0,04
Aleix García;ESP;CC;Girona;LaLiga;26;37;25;6;7;2,11;81;36;1;3199;35,5;3;46;6;3;0;0;4;1;1,8;5,5;58;294;52;20;23077;1200000;39;0,08;1,2;56,9;24;15;62,5;54;51,9;17;36;53;78;44;-1,08;-0,19
Ben Brereton;CHI;DL;Sheffield Utd;PremierLeague;24;14;3;7;28;0,86;16;14;12;1105;12,3;6;104;1;5;1;1;3;0;6,1;1,5;23;37;78;;35000;1820000;34;0,15;-0,1;35,8;28;10;35,7;2;0;0;0;0;3;3;0;0,05
Ante Budimir;CRO;DL;Osasuna;LaLiga;32;33;12;9;17;1,3;45;29;4;2435;27,1;17;56;2;14;3;4;4;0;14,2;1,8;21;42;99;5;25962;1350000;73;0,19;2,8;47,5;31;10;32,3;14;35,7;5;5;18;34;40;0,24;0,62
Joselu;ESP;DL;Real Madrid;LaLiga;33;34;29;8;1;2,5;95;15;19;1687;18,7;10;26;2;10;0;2;1;0;11,6;1,7;15;20;98;5;48077;2500000;61;0,16;-1,6;59,2;14;6;42,9;7;0;1;6;11;51;10;1,15;0,48
Manu Bueno;ESP;CC;Sevilla;LaLiga;19;4;10;11;17;1,5;41;1;3;117;1,3;0;54;0;0;0;0;1;0;0;0,1;1;3;1;;;;1;0;0;50,3;2;1;50;3;100;0;0;1;0;2;-1,43;-0,33
Alejandro Pozo Pozo;ESP;DF;Almería;LaLiga;24;21;3;12;23;0,43;21;9;12;976;10,8;0;75;0;0;0;0;3;0;0,4;0,6;22;44;62;;13846;720000;4;0;-0,4;46,4;14;1;7,1;20;60;4;7;21;8;24;-0,89;-0,92
José Callejón;ESP;CC;Granada;LaLiga;36;25;4;9;25;0,72;21;7;18;803;8,9;0;79;1;0;0;0;2;0;1,3;1,5;10;35;50;0,8;28846;1500000;12;0;-1,3;45,6;9;3;33,3;22;36,4;1;5;10;8;21;-0,49;-0,75
Alejo Véliz;ARG;DL;Sevilla;LaLiga;19;6;10;11;17;1,17;41;0;6;35;0,4;0;54;0;0;0;0;0;0;0,2;0;0;0;1;;28846;1500000;2;0;-0,2;50,3;0;0;;2;50;0;0;1;0;2;-5,04;-0,33
Sergio Camello;ESP;DL;Rayo Vallecano;LaLiga;22;31;8;14;16;0,94;38;20;11;1661;18,5;3;48;1;3;0;0;3;0;4,5;1,3;22;41;79;5;12500;650000;33;0,09;-1,5;49,4;49;16;32,7;15;40;2;3;15;12;27;-0,61;0
Iñaki Peña;ESP;PO;Barcelona;LaLiga;24;10;26;7;5;2;85;10;0;900;10;0;44;0;0;0;0;0;0;0;0;0;0;0;5;62500;3250000;0;;0;64,3;0;0;;1;0;0;0;5;21;17;-0,71;0,44
José Campaña;ESP;CC;Las Palmas;LaLiga;30;8;10;10;18;0,5;40;1;7;171;1,9;0;47;0;0;0;0;0;0;0;0;1;15;4;;;;1;0;0;59,2;3;1;33,3;2;0;2;2;3;0;2;-0,72;-0,69
João Cancelo;POR;DF;Barcelona;LaLiga;29;32;26;7;5;2,16;85;29;3;2503;27,8;2;44;4;2;0;0;7;0;1,6;6,1;106;141;193;25;240385;12500000;32;0,06;0,4;64,3;111;61;55;58;65,5;6;29;59;53;35;-1,02;-0,43
Sergi Canós;ESP;CC;Valencia;LaLiga;26;27;13;10;15;1,15;49;15;12;1229;13,7;1;45;2;1;0;0;1;0;2,8;2,4;32;52;88;7,5;28846;1500000;43;0,02;-1,8;44,3;38;18;47,4;24;41,7;2;11;9;21;20;0,32;0,43
Étienne Capoue;FRA;CC;Villarreal;LaLiga;35;32;14;11;13;1,31;53;15;17;1455;16,2;1;65;1;1;0;0;8;0;1;0,6;24;80;38;2;36538;1900000;14;0,07;0;49,6;45;22;48,9;22;68,2;4;22;24;29;34;-0,54;-0,17
Aleksandar Sedlar;SRB;DF;Alavés;LaLiga;31;11;12;10;16;1,09;46;11;0;946;10,5;1;46;0;1;0;0;2;0;0,3;0,1;6;26;1;1;14038;730000;4;0,25;0,7;41,8;3;2;66,7;16;62,5;4;13;43;10;14;-0,16;0,32
Isaac Carcelen;ESP;DF;Cádiz;LaLiga;30;35;6;15;17;0,86;33;29;6;2611;29;0;55;0;0;0;0;2;0;0,6;1;25;75;70;;13462;700000;10;0;-0,6;43,3;22;13;59,1;45;55,6;7;27;87;20;38;0,6;0,06
Iñigo Martínez;ESP;DF;Barcelona;LaLiga;32;20;26;7;5;2,45;85;13;7;1296;14,4;0;44;0;0;0;0;5;0;0,4;0;33;97;5;5;180385;9380000;8;0;-0,4;64,3;1;0;0;8;75;10;11;50;27;11;0,31;-0,3
Marc Cardona;ESP;DL;Las Palmas;LaLiga;28;26;10;10;18;;40;6;20;737;8,2;4;47;1;3;1;1;4;0;4,2;1,1;10;13;74;0,8;12115;630000;21;0,14;-0,2;59,2;34;14;41,2;12;8,3;0;2;7;11;7;1,09;1,06
Sergi Cardona;ESP;DF;Las Palmas;LaLiga;24;35;10;10;18;1,09;40;30;5;2814;31,3;1;47;2;1;0;0;11;0;2,7;2,8;60;160;165;5;3269;170000;26;0,04;-1,7;59,2;37;17;45,9;96;57,3;7;46;102;30;38;0,64;0,27
Carmona;ESP;DF;Getafe;LaLiga;21;30;10;13;15;1,03;43;15;15;1313;14,6;1;54;1;1;0;0;8;0;0,8;1;29;39;55;;;;12;0,08;0,2;44,8;28;9;32,1;28;32,1;2;21;25;18;26;-0,38;-0,03
Álex Centelles;ESP;DF;Almería;LaLiga;25;14;3;12;23;0,64;21;11;3;980;10,9;0;75;1;0;0;0;2;0;0;1,6;16;31;53;2;7692;400000;2;0;0;46,4;9;4;44,4;18;44,4;2;18;29;12;24;-0,36;-0,16
Álvaro Carreras;ESP;CC;Granada;LaLiga;20;13;4;9;25;0,46;21;5;8;475;5,3;0;79;0;0;0;0;1;0;0,4;0,4;13;14;31;6;;;7;0;-0,4;45,6;14;7;50;11;45,5;1;7;9;10;11;1,03;0,97
Álex Fernández;ESP;CC;Cádiz;LaLiga;30;26;6;15;17;0,85;33;14;12;1285;14,3;0;55;1;0;0;0;3;0;0,3;0,8;11;52;26;1;9423;490000;7;0;-0,3;43,3;7;4;57,1;22;50;5;15;30;6;20;-0,35;-0,66
Alex Iwobi;NGA;DL;Fulham;PremierLeague;27;30;13;8;17;0;47;25;0;2192;24,4;5;61;2;5;0;0;2;0;5,3;4,7;109;147;175;25;80000;4160000;51;0,1;-0,3;50,6;4;3;75;3;66,7;0;1;0;0;3;-1,71;-0,18
William Carvalho;POR;CC;Betis;LaLiga;31;22;14;15;9;1,55;57;4;18;680;7,6;1;45;3;1;0;0;2;0;0,4;0,7;12;58;12;6;45192;2350000;8;0,13;0,6;50,4;13;4;30,8;16;62,5;1;8;9;11;10;0,07;-0,45
Catena;ESP;DF;Osasuna;LaLiga;28;30;12;9;17;1,17;45;28;2;2534;28,2;1;56;3;1;0;0;8;1;1,3;1;5;77;1;;19231;1000000;18;0,06;-0,3;47,5;7;3;42,9;35;54,3;15;15;119;34;45;-0,39;-0,64
Franco Cervi;ARG;CC;Celta Vigo;LaLiga;29;17;10;11;17;1,35;41;5;12;546;6,1;0;57;1;0;0;0;2;0;0,5;2;16;24;36;2;23077;1200000;8;0;-0,5;46,1;6;0;0;24;54,2;0;9;4;8;13;-0,64;0,23
Clément Lenglet;FRA;DF;Aston Villa;PremierLeague;28;14;20;8;10;1,29;68;14;0;1153;12,8;0;61;1;0;0;0;3;0;0,9;0,8;26;51;1;10;150000;7800000;8;0;-0,9;53,1;8;3;37,5;13;53,8;11;7;47;22;27;-1,18;-0,49
Pep Chavarría;ESP;DF;Rayo Vallecano;LaLiga;25;22;8;14;16;0,83;38;12;10;1167;13;1;48;1;1;0;0;6;1;1;0,7;28;74;84;1,5;6731;350000;11;0,09;0;49,4;28;11;39,3;17;64,7;3;6;29;7;15;-0,18;0,55
Chumi;ESP;DF;Almería;LaLiga;24;31;3;12;23;0,58;21;26;5;2434;27;0;75;1;0;0;0;4;0;1;1,4;11;68;4;;6346;330000;5;0;-1;46,4;6;5;83,3;26;61,5;23;14;107;34;55;0,23;0,14
Álex Moreno;ESP;DF;Aston Villa;PremierLeague;30;21;20;8;10;1,67;68;11;10;1031;11,5;2;61;0;2;0;0;2;0;1,1;1,1;32;24;83;8;35000;1820000;8;0,25;0,9;53,1;35;15;42,9;19;63,2;2;13;37;24;20;-0,07;0,13
Víctor Chust;ESP;DF;Cádiz;LaLiga;23;22;6;15;17;0,95;33;22;0;1864;20,7;0;55;1;0;0;0;3;2;0,3;0,3;10;80;2;3;4615;240000;4;0;-0,3;43,3;2;1;50;32;56,3;21;11;92;11;23;0,4;0,77
Pathé Ciss;SEN;CC;Rayo Vallecano;LaLiga;29;31;8;14;16;1,16;38;16;15;1664;18,5;1;48;0;1;0;0;10;0;1,5;0,5;14;84;22;1,5;6538;340000;22;0,05;-0,5;49,4;21;17;81;29;55,2;10;30;54;12;30;-0,92;-0,53
Saúl Coco;EQG;DF;Las Palmas;LaLiga;24;30;10;10;18;1,03;40;26;4;2295;25,5;1;47;0;1;0;0;6;1;1,1;0;9;69;1;3;3269;170000;20;0,05;-0,1;59,2;10;3;30;18;61,1;15;20;120;23;33;-0,07;0,19
Santi Comesaña;ESP;CC;Villarreal;LaLiga;26;27;14;11;13;1,59;53;20;7;1653;18,4;2;65;0;2;0;0;8;2;1,9;2;23;92;48;5;24038;1250000;17;0,12;0,1;49,6;32;21;65,6;38;50;9;22;27;33;25;0,84;0,43
Alex Scott;ENG;CC;Bournemouth;PremierLeague;19;23;13;9;16;1,22;48;11;12;1014;11,3;1;67;1;1;0;0;3;0;0,7;1,7;24;50;35;;40000;2080000;15;0,07;0,3;44,4;37;13;35,1;28;42,9;4;12;18;17;25;-0,52;0,11
Copete;ESP;DF;Mallorca;LaLiga;23;19;8;16;14;1,05;40;17;2;1333;14,8;1;44;1;1;0;0;7;0;0,5;0,8;3;52;2;;4038;210000;7;0,14;0,5;45;9;4;44,4;43;69,8;6;32;47;10;20;-0,63;0,09
Francis Coquelin;FRA;CC;Villarreal;LaLiga;32;17;14;11;13;1,59;53;10;7;910;10,1;0;65;0;0;0;0;4;0;0,1;0,1;5;47;14;2;71923;3740000;3;0;-0,1;49,6;8;3;37,5;13;38,5;4;16;15;20;10;1,35;0,22
Alex Sola;ESP;DL;Alavés;LaLiga;24;29;12;10;16;1,24;46;14;15;1262;14;0;46;3;0;0;0;2;0;1,6;2,3;40;42;103;;4615;240000;0;;0;41,8;75;43;57,3;26;53,8;2;11;16;9;20;-0,83;-0,17
Theo Corbeanu;CAN;CC;Granada;LaLiga;21;9;4;9;25;0,22;21;2;7;182;2;1;79;0;1;0;0;2;0;0,3;0;5;5;13;;9615;500000;5;0,2;0,7;45,6;8;2;25;3;33,3;0;3;2;1;4;-0,43;-0,46
Oriol Romeu;ESP;CC;Barcelona;LaLiga;31;28;26;7;5;2,32;85;11;17;936;10,4;0;44;1;0;0;0;4;0;0,7;1,3;12;66;4;3;67308;3500000;10;0;-0,7;64,3;5;4;80;24;54,2;2;10;18;12;11;-1,14;-0,75
Álex Suárez;ESP;DF;Las Palmas;LaLiga;30;32;10;10;18;1;40;30;2;2562;28,5;2;47;0;2;0;0;7;0;1,2;0,2;12;109;15;1;2500;130000;7;0,29;0,8;59,2;16;11;68,8;37;83,8;14;18;84;25;35;0,07;0,43
Thierry Correia;POR;DF;Valencia;LaLiga;24;31;13;10;15;1,32;49;25;6;2154;23,9;0;45;2;0;0;0;4;1;0,6;2,1;40;80;56;8;35385;1840000;5;0;-0,6;44,3;51;23;45,1;49;57,1;16;33;61;27;30;0,02;0,2
Jaume Costa;ESP;DF;Mallorca;LaLiga;35;30;8;16;14;1,13;40;19;11;1682;18,7;0;44;1;0;0;0;7;0;0,3;1,2;34;50;104;0,8;8077;420000;6;0;-0,3;45;20;8;40;29;62,1;4;16;35;19;26;-0,17;0,05
Samu Costa;POR;CC;Mallorca;LaLiga;22;34;8;16;14;1;40;26;8;2303;25,6;1;44;1;1;0;0;8;0;1,1;0,5;16;93;32;;13462;700000;22;0,05;-0,1;45;23;12;52,2;93;49,5;14;39;59;21;30;-0,19;-0,76
Yan Couto;BRA;DF;Girona;LaLiga;21;34;25;6;7;2,21;81;24;10;2245;24,9;1;46;8;1;0;0;8;0;1,5;4,2;151;97;240;15;9231;480000;29;0,03;-0,5;56,9;117;48;41;40;50;2;10;31;57;31;0,05;0,64
Crespo;POR;CC;Rayo Vallecano;LaLiga;26;15;8;14;16;0,73;38;4;11;527;5,9;0;48;0;0;0;0;4;0;0,1;1;13;30;20;;;;3;0;-0,1;49,4;20;13;65;17;52,9;6;10;7;2;8;-0,62;-0,26
João Félix;POR;DL;Barcelona;LaLiga;23;30;26;7;5;2,17;85;18;12;1540;17,1;7;44;3;7;0;0;3;0;8,7;3,1;69;68;169;30;7692;400000;61;0,11;-1,7;64,3;89;29;32,6;22;36,4;1;10;11;34;16;0,24;0,28
Alfie Doughty;ENG;DF;Luton Town;PremierLeague;23;37;6;8;24;0,7;26;34;3;2925;32,5;2;85;8;2;0;0;5;0;1,3;6,3;94;106;164;5;7500;390000;26;0,08;0,7;42,4;67;33;49,3;82;45,1;9;31;43;46;74;0,05;0,5
Juan Cruz Armada;ESP;DF;Osasuna;LaLiga;31;26;12;9;17;1,27;45;18;8;1667;18,5;0;56;1;0;0;0;3;0;0;0,4;16;77;29;;7692;400000;3;0;0;47,5;12;3;25;25;68;7;12;39;23;28;0,04;0,18
Alfie Gilchrist;ENG;DF;Chelsea;PremierLeague;19;11;18;9;11;2,27;63;2;9;207;2,3;1;63;0;1;0;0;1;0;0,3;0;1;7;4;;;;5;0,2;0,7;58,6;1;1;100;5;40;3;3;11;8;6;0,53;-0,08
Alfonso Espino;URU;DF;Rayo Vallecano;LaLiga;31;31;8;14;16;1,06;38;29;2;2507;27,9;0;48;1;0;0;0;9;0;1;2,8;41;113;89;3;11154;580000;18;0;-1;49,4;50;24;48;82;36,6;4;40;63;22;37;-0,14;-0,82
Alfonso Pedraza;ESP;DF;Villarreal;LaLiga;27;19;14;11;13;1;53;14;5;1116;12,4;1;65;3;1;0;0;4;1;0,6;3,6;56;31;97;5;42308;2200000;9;0,11;0,4;49,6;30;10;33,3;17;52,9;7;13;19;17;27;-1,2;-0,02
Alisson;BRA;PO;Liverpool;PremierLeague;30;28;24;10;4;2;82;28;0;2520;28;0;41;0;0;0;0;1;0;0;0;0;5;0;32;150000;7800000;0;;0;61,3;0;0;;1;0;0;0;11;60;30;-0,43;-0,58
Jorge Cuenca;ESP;DF;Villarreal;LaLiga;23;29;14;11;13;1,41;53;21;8;1963;21,8;3;65;1;3;0;0;7;0;1,2;0,2;11;78;30;5;20192;1050000;20;0,15;1,8;49,6;14;8;57,1;30;63,3;15;21;114;31;42;-1,18;-0,31
Alphonse Areola;FRA;PO;West Ham;PremierLeague;30;31;14;10;14;1,35;52;31;0;2699;30;0;74;0;0;0;0;1;0;0;0;0;1;0;10;120000;6240000;0;;0;41,1;1;1;100;3;33,3;0;1;16;49;53;1,11;0,34
Sergi Darder;ESP;CC;Mallorca;LaLiga;29;36;8;16;14;1,08;40;21;15;2157;24;2;44;5;2;0;0;4;0;2,2;6,4;56;132;75;7;43269;2250000;32;0,06;-0,2;45;62;34;54,8;31;38,7;4;16;16;19;29;-0,35;-0,07
Aritz Elustondo;ESP;DF;Real Sociedad;LaLiga;29;15;16;12;10;1,73;60;7;8;812;9;0;39;1;0;0;0;2;0;0,3;0,6;4;31;2;8;42308;2200000;7;0;-0,3;55,3;3;2;66,7;14;42,9;10;7;26;10;8;-0,12;-0,82
Álvaro García;ESP;DL;Rayo Vallecano;LaLiga;30;32;8;14;16;;38;30;0;2475;27,5;6;48;1;6;0;0;8;1;6,2;3;56;63;252;5;27885;1450000;45;0,13;-0,2;49,4;25;10;40;34;20,6;0;36;33;;;;
Mouctar Diakhaby;GUI;DF;Valencia;LaLiga;26;14;13;10;15;1,14;49;12;2;1073;11,9;1;45;0;1;0;0;6;0;0,7;0;7;29;1;10;76923;4000000;7;0,14;0,3;44,3;5;4;80;13;84,6;7;11;62;11;15;-0,3;-0,73
Álvaro Lemos;ESP;DF;Las Palmas;LaLiga;30;4;10;10;18;1,25;40;3;1;251;2,8;0;47;0;0;0;0;1;0;0;0;6;17;8;0,8;7115;370000;1;0;0;59,2;2;0;0;2;0;1;2;4;3;3;0,4;-0,27
Jon Pacheco;ESP;DF;Real Sociedad;LaLiga;22;23;16;12;10;1,7;60;16;7;1526;17;1;39;1;1;0;0;8;0;1,1;0,2;9;53;1;8;11538;600000;6;0,17;-0,1;55,3;4;4;100;22;63,6;6;10;53;19;16;-0,25;-0,33
Álvaro Morata;ESP;DL;Atlético Madrid;LaLiga;30;32;24;4;10;1,91;76;21;11;1904;21,2;15;43;3;15;0;1;4;1;13,8;1,7;22;20;88;20;260385;13540000;66;0,23;1,2;50,8;36;17;47,2;5;60;3;1;26;40;25;0;-0,41
Álvaro Negredo;ESP;DL;Cádiz;LaLiga;37;7;6;15;17;0,43;33;0;7;54;0,6;0;55;0;0;0;0;0;0;0,1;0,1;0;0;0;;19231;1000000;3;0;-0,1;43,3;2;2;100;0;;0;1;0;0;2;-2,61;-2,81
Víctor Díaz;ESP;DF;Granada;LaLiga;35;4;4;9;25;0,75;21;2;2;162;1,8;0;79;0;0;0;0;1;0;0;0;0;2;0;;8462;440000;0;;0;45,6;1;1;100;3;33,3;0;1;8;1;8;-2,95;-1,09
Kieran Tierney;SCO;DF;Real Sociedad;LaLiga;26;20;16;12;10;1,75;60;14;6;1238;13,8;0;39;2;0;0;0;1;0;0,2;0,6;22;77;39;12;128269;6670000;2;0;-0,2;55,3;17;7;41,2;27;66,7;8;10;45;17;12;0,07;-0,49
Famara Diedhiou;SEN;DL;Granada;LaLiga;30;8;4;9;25;0,5;21;0;8;89;1;0;79;1;0;0;0;1;0;0,5;0,2;5;0;19;;16346;850000;5;0;-0,5;45,6;5;4;80;1;0;0;0;2;2;3;0,07;0,79
Álvaro Odriozola;ESP;DF;Real Sociedad;LaLiga;27;9;16;12;10;1,33;60;6;3;393;4,4;0;39;0;0;0;0;0;0;0;0,2;14;8;12;3;51923;2700000;0;;0;55,3;9;2;22,2;5;100;1;8;7;3;2;-0,1;-0,42
Stole Dimitrievski;MKD;PO;Rayo Vallecano;LaLiga;29;37;8;14;16;1,03;38;37;0;3330;37;0;48;0;0;0;0;2;0;0;0,1;0;0;0;2,5;12692;660000;0;;0;49,4;1;1;100;1;100;0;0;17;29;47;0,51;-0,17
Djené;TOG;DF;Getafe;LaLiga;31;33;10;13;15;1,18;43;30;3;2484;27,6;0;54;0;0;0;0;14;1;0,1;0,3;13;98;19;2;42308;2200000;6;0;-0,1;44,8;25;18;72;26;57,7;15;23;70;28;33;0,49;0,05
Hamari Traoré;MLI;DF;Real Sociedad;LaLiga;31;31;16;12;10;1,68;60;27;4;2292;25,5;0;39;2;0;0;0;7;0;0,5;1,5;49;129;83;6;46154;2400000;18;0;-0,5;55,3;27;16;59,3;43;58,1;8;24;59;43;27;0,95;0,32
Álvaro Vallés;ESP;PO;Las Palmas;LaLiga;26;37;10;10;18;1,08;40;37;0;3263;36,3;0;47;0;0;0;0;2;1;0;0;0;5;0;;2308;120000;0;;0;59,2;1;1;100;8;37,5;0;0;40;33;44;1,42;1,43
Amad Diallo;CIV;DL;Manchester Utd;PremierLeague;21;9;18;6;14;1,22;60;3;6;390;4,3;1;58;1;1;0;0;1;0;0,5;1,1;11;10;31;18;28846;1500000;10;0,1;0,5;50,6;23;11;47,8;7;42,9;1;1;6;10;6;1,07;0,45
Carlos Dominguez;ESP;DF;Celta Vigo;LaLiga;22;22;10;11;17;1,27;41;18;4;1584;17,6;0;57;0;0;0;0;2;0;0,3;0,1;11;63;3;;2885;150000;5;0;-0,3;46,1;2;2;100;37;62,2;12;22;78;24;29;0,01;-0,25
Carlos Dotor;ESP;CC;Celta Vigo;LaLiga;22;17;10;11;17;0,65;41;7;10;708;7,9;0;57;0;0;0;0;2;0;0,2;0,1;3;30;12;;6731;350000;4;0;-0,2;46,1;3;3;100;13;30,8;2;4;4;9;12;-0,12;-0,78
Anastasios Douvikas;GRE;DL;Celta Vigo;LaLiga;23;32;10;11;17;1,16;41;7;25;905;10,1;7;57;1;7;0;0;2;0;4,6;1,3;10;13;53;8;25000;1300000;26;0,27;2,4;46,1;22;9;40,9;8;37,5;3;2;9;12;23;-1,09;-0,88
Artem Dovbyk;UKR;DL;Girona;LaLiga;26;36;25;6;7;2,19;81;32;4;2587;28,7;24;46;8;17;7;8;2;0;24,2;6,2;18;26;118;35;48077;2500000;77;0,22;-0,2;56,9;25;17;68;2;0;1;0;17;67;36;0,21;0,73
Domingos Duarte;POR;DF;Getafe;LaLiga;28;15;10;13;15;1,27;43;11;4;907;10,1;0;54;0;0;0;0;5;2;0,3;0,1;7;47;0;2;20769;1080000;1;0;-0,3;44,8;3;1;33,3;7;71,4;5;8;27;14;18;-0,11;-0,15
Amari'i Bell;JAM;DF;Luton Town;PremierLeague;29;21;6;8;24;0,86;26;21;0;1720;19,1;0;85;0;0;0;0;0;0;0,3;0,5;32;76;10;1;10000;520000;2;0;-0,3;42,4;27;10;37;35;62,9;15;25;60;30;41;0,59;0,46
Rubén Duarte;ESP;DF;Alavés;LaLiga;27;28;12;10;16;1,07;46;21;7;1878;20,9;2;46;1;2;0;0;7;0;0,7;1,5;16;81;39;2;10962;570000;15;0,13;1,3;41,8;5;3;60;31;67,7;6;23;69;20;30;-0,48;-0,07
Hugo Duro;ESP;DL;Valencia;LaLiga;23;37;13;10;15;1,32;49;35;2;2976;33,1;13;45;2;13;0;0;4;0;11,5;1,3;27;34;157;16;55577;2890000;66;0,2;1,5;44,3;41;13;31,7;29;31;5;5;27;35;33;1,48;0,99
Ameen Al-Dakhil;BEL;DF;Burnley;PremierLeague;21;13;5;9;24;0,38;24;12;1;1056;11,7;1;78;0;1;0;0;1;0;1,3;0,1;7;35;9;5;15000;780000;8;0,13;-0,3;47,4;5;3;60;10;10;6;12;38;10;26;-0,56;-0,04
Youssef En-Nesyri;MAR;DL;Sevilla;LaLiga;26;33;10;11;17;1,21;41;28;5;2570;28,6;16;54;2;15;1;1;4;0;10,8;1,3;17;17;81;18;57692;3000000;72;0,21;5,2;50,3;37;11;29,7;10;0;1;7;29;40;33;1,62;0,46
Gonzalo Escalante;ARG;CC;Cádiz;LaLiga;30;25;6;15;17;0,84;33;18;7;1697;18,9;1;55;2;1;0;0;2;1;1,9;1,7;4;66;14;2;34423;1790000;14;0,07;-0,9;43,3;7;3;42,9;55;36,4;5;26;33;11;30;-0,49;0,16
Ander Guevara;ESP;CC;Alavés;LaLiga;26;37;12;10;16;1,24;46;33;4;2932;32,6;1;46;0;1;0;0;7;0;0,7;0,9;53;187;37;;17308;900000;16;0,06;0,3;41,8;32;19;59,4;64;48,4;12;13;46;31;41;-0,31;-0,22
Ander Herrera;ESP;CC;Athletic Club;LaLiga;33;23;19;11;8;1,78;68;10;13;1030;11,4;0;37;3;0;0;0;4;0;0,7;1,2;11;94;17;2,5;57692;3000000;14;0;-0,7;49,8;10;5;50;36;55,6;6;15;18;17;10;-0,03;-0,11
Carlos Fernández;ESP;DL;Real Sociedad;LaLiga;27;10;16;12;10;1,55;60;5;5;408;4,5;2;39;1;1;1;1;3;0;1,5;0,5;5;4;13;5;19231;1000000;8;0,13;0,5;55,3;10;3;30;2;0;0;0;5;7;4;0,39;-0,73
Andoni Gorosabel;ESP;DF;Alavés;LaLiga;26;36;12;10;16;1,25;46;33;3;2854;31,7;1;46;0;1;0;0;6;0;0,7;1,3;58;117;121;2;19231;1000000;15;0,07;0,3;41,8;49;25;51;75;50,7;8;28;69;28;35;0,26;-0,28
André Silva;POR;DL;Real Sociedad;LaLiga;27;19;16;12;10;1,42;60;9;10;729;8,1;3;39;0;2;1;1;1;0;3,3;0,3;5;7;44;7;96154;5000000;15;0,13;-0,3;55,3;23;6;26,1;4;0;0;1;3;8;8;-0,4;0,01
